"response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"MusicalDist","GeographicDist",0.319222844626147,0.234125700204415,0.0993235255858286,-0.0132610337159428,2.58283046323256,0.690108646398847,90,99
"DifferentiationDist","GeographicDist",0.223152805895413,0.12604690663234,0.111589995085452,0.000538744471133621,2.48733089533764,1.31292441870657,50,80
"DynamicsDist","GeographicDist",0.27179343407435,0.180767613333644,0.120242961917426,0.0102733321571039,0.75164205862774,0.858784779602286,69,88
"OrnamentationDist","GeographicDist",0.163911582093658,0.0594005298553657,0.0989696613539334,-0.013659130976825,1.42791733295706,-1.42168756578459,33,76
"RhythmDist","GeographicDist",0.0582822539795124,-0.0594324642730486,0.115946316320714,0.00543960586080287,-1.81777326516133,-2.61042152601045,0,32
"TensionDist","GeographicDist",0.306471401334148,0.219780326500916,0.127508327296825,0.0184468682089285,3.63824057716828,1.23070926130813,82,98
"MusicalDist","LanguageDist",0.275082818545743,0.130099382254891,0.175062607800846,0.0100751293610156,1.6797259494686,0.939561855859586,33,89
"DifferentiationDist","LanguageDist",0.380055410655782,0.256066492786938,0.165757792750364,-0.00109064869956283,3.45576544131979,1.48563177111625,74,95
"DynamicsDist","LanguageDist",0.251222387916854,0.101466865500225,0.168429632666546,0.0021155591998556,1.4625231022725,-0.386209341182334,31,73
"OrnamentationDist","LanguageDist",0.414236752726499,0.297084103271799,0.162912563314107,-0.00450492402307202,3.50695975978896,2.11842090449263,85,100
"RhythmDist","LanguageDist",0.0855891096614708,-0.097293068406235,0.157389334109437,-0.0111327990686758,-3.64161853192002,-2.18117245155948,0,35
"TensionDist","LanguageDist",0.349861329451379,0.219833595341655,0.168872209468625,0.00264665136234966,3.44112371008632,-0.600527376227485,58,97
"MusicalDist","GeneticDist",0.305915032078913,0.219154411088777,0.112996830163885,0.00212143393437076,3.57009552342114,-0.366119887342569,86,97
"DifferentiationDist","GeneticDist",0.464901413814349,0.398014090541143,0.103668000109282,-0.00837349987705819,6.03740763873258,1.83715383862123,99,100
"DynamicsDist","GeneticDist",0.247312819471818,0.153226921905795,0.107003602503984,-0.00462094718301852,2.16406389224751,1.80007604128826,63,89
"OrnamentationDist","GeneticDist",0.134158312829759,0.0259281019334786,0.105110906818792,-0.00675022982885846,0.152140785813187,-0.452646506815903,18,63
"RhythmDist","GeneticDist",0.125476611520409,0.0161611879604598,0.10086823489734,-0.0115232357404919,0.00732301944940007,-1.20207013179063,18,63
"TensionDist","GeneticDist",0.302861529421254,0.215719220598911,0.117313893257967,0.0069781299152134,2.79099471000991,1.3846985952806,87,97
"DifferentiationDist","MusicalDist",0.596147283678272,0.515376740413926,0.170145252694257,0.00417430323310899,4.85909116383088,4.02738866983867,100,100
"DynamicsDist","MusicalDist",0.547118912680439,0.456542695216527,0.170044717279619,0.00405366073554232,5.11538564482044,3.10306160057276,98,99
"OrnamentationDist","MusicalDist",0.490547222773546,0.388656667328256,0.172090463871045,0.0065085566452546,3.7516617556516,2.20267766461816,97,100
"RhythmDist","MusicalDist",0.291419889340778,0.149703867208933,0.15751183452389,-0.0109857985713324,2.31864436620544,-1.72649126062363,42,94
"TensionDist","MusicalDist",0.666676542573882,0.600011851088659,0.167927448784871,0.00151293854184569,4.78637634346118,3.92656433179621,100,100
