"","song_id","society_id","line_1","line_10","line_11","line_12","line_13","line_14","line_15","line_16","line_17","line_18","line_19","line_2","line_20","line_21","line_22","line_23","line_24","line_25","line_26","line_27","line_28","line_29","line_3","line_30","line_31","line_32","line_33","line_34","line_35","line_36","line_37","line_4","line_5","line_6","line_7","line_8","line_9","Society_latitude","Society_longitude","Area_latitude","Area_longitude","Region","Division","Subregion","Area","society","alternative_names","People","People2","People3","Focal_years","cantometrics_samplesize","minutage_samplesize","parlametrics_samplesize","phonotactics_samplesize","Koppen_climate_terrain","Koppen_code","Arensberglomax_taxon","Language","Language_nearsubfamily","Language_largersubfamily","Language_family","Glottocode","Country","dplace_id","EA_cu..UPDATE","EA_Prov_name","EA_Prov_.","EA_.","Culture_Wiki","Society_summary","Notes_1","Culture.Sources","Local_latitude","Local_longitude","Homeland_latitude","Homeland_longitude","Preferred_name","Society_location","Audio_notes","Duration","Audio_file","archivalsource_id","Song","Genre","Song_notes","Performers","Instruments","Vocalist_gender","Lyrics","Living_metadata","Recorded_by","Year","Publisher","Publcation_collection","Repository","Classification_notes","Metadata_notes","Sources","Source_tag","new","notes","group_id","PopName","phylogeny.glottocode","Priority.ranking.for.review","pairing.glottocode","SelectGJB","glottocodeProxyGJB","MorePopsPerGlottocode","commentsChiara","samplePopID","geographicRegion","publication","country","lat","lon","QualityAverage","inDataset","samplesize","glottolog.node1","glottolog.NAME","QualityAverageNEW","samplesizeNEW","median_F_hom","varianc_F_hom","median_proportionHET","n"
"1",1003,15907,0.0833333333333333,0.25,0.4,0,0,0,0.666666666666667,0.833333333333333,0,0,0.5,0,0.5,0.5,0,0.25,0.4,0.25,1,0,0.333333333333333,0.5,0,0.75,1,0.5,0.2,0.75,0.75,0.5,0.5,0.25,0,0,0,0,0,52.59,140.68,53.03,142.08,"North Eurasia","E North Eurasia","Russian Far East","Amur R/ N Sakhalin Island","Nivkh","Nivkhs; Nivkhi; Gilyak","Nivkh Peoples","nan","Paleo-Siberian Peoples","1957",2,NA,1,NA,"Humid Continental","Dfb","HF-Arctic","Nivkh (language isolate)","Nivkh (language isolate)","Nivkh (language isolate)","Nivkh (language isolate)","gily1242","Russia",NA,"Ec1","Gilyak",77,"9022","wiki","Guided by the clan  the Nivkh people's marriage traditions were very complex. With the clan  cross-cousin marriage appers to be the original custom. Howevere  latter that practice became necessity when the clan was not able to marry persons without breaking taboo. Most likely  the bride price was introduced by the Neo-Siberians. The clan people shared the dowry among themselves. Because the number of women was much less than the number of men and the bride prices were so high  it was hard to gain wives. As a result  the wealthier men would end up having more than one wife and the poor men without any.",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottogily1242 @Ethnoniv @WikiNivkh",43.22,142.86,NA,NA,"Nivkh","Hokkaido  Japan",NA,"0:00:37","T5411R45","T124.2","Gilyak Song 1",NA,"nan","Male solo","Male Voice","Men","nan","nan","Robert Austerlitz","1957","Previously Unpublished","Robert Austerlitz Recordings","Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","Copies of recordings sent from the Linguistics Department of Columbia University","@ALC1957AusterlitzRecordings",NA,NA,"15907Nivhgily1242gily1242","Nivh","gily1242",10,"gily1242","YES","0",NA,NA,"Khabarovsk_region__Ulchsky_and_Nikovaevsky_districts","EURASIA","Jeong_2019","Russia",52.85,141.25,588969.5,"NEW_2020",8,"nivk1234","Nivkh",588969.5,8,0.1874,3.01898214285715e-05,0.20819968,2
"2",1004,15907,0.0833333333333333,0,1,0,0,0,0.666666666666667,0.833333333333333,0.75,0,1,0,0.25,0.25,0,0.5,0.2,0.25,1,0,0.666666666666667,0.5,0,1,0.5,0.25,0.4,0.75,0.5,0.5,0.75,0.25,0,0,0,0,0,52.59,140.68,53.03,142.08,"North Eurasia","E North Eurasia","Russian Far East","Amur R/ N Sakhalin Island","Nivkh","Nivkhs; Nivkhi; Gilyak","Nivkh Peoples","nan","Paleo-Siberian Peoples","1957",2,NA,1,NA,"Humid Continental","Dfb","HF-Arctic","Nivkh (language isolate)","Nivkh (language isolate)","Nivkh (language isolate)","Nivkh (language isolate)","gily1242","Russia",NA,"Ec1","Gilyak",77,"9022","wiki","Guided by the clan  the Nivkh people's marriage traditions were very complex. With the clan  cross-cousin marriage appers to be the original custom. Howevere  latter that practice became necessity when the clan was not able to marry persons without breaking taboo. Most likely  the bride price was introduced by the Neo-Siberians. The clan people shared the dowry among themselves. Because the number of women was much less than the number of men and the bride prices were so high  it was hard to gain wives. As a result  the wealthier men would end up having more than one wife and the poor men without any.",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottogily1242 @Ethnoniv @WikiNivkh",43.22,142.86,NA,NA,"Nivkh","Hokkaido  Japan","Old audio file # T40003R01","0:07:33","T9621R01","T123.6","Gilyak Improvised Lament","Lament","Gilyak woman singing improvised lament","Female solo","Female Voice","Women","nan","nan","Robert Austerlitz","1957","Previously Unpublished","Robert Austerlitz Recordings","Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"Unclear from collector's notes which of these short songs is the improvised lament that was coded  so all were included in the audio.","Copies of recordings sent from the Linguistics Department of Columbia University","@ALC1957AusterlitzRecordings",NA,NA,"15907Nivhgily1242gily1242","Nivh","gily1242",10,"gily1242","YES","0",NA,NA,"Khabarovsk_region__Ulchsky_and_Nikovaevsky_districts","EURASIA","Jeong_2019","Russia",52.85,141.25,588969.5,"NEW_2020",8,"nivk1234","Nivkh",588969.5,8,0.1874,3.01898214285715e-05,0.20819968,2
"3",1028,12046,0.0833333333333333,0.25,0.4,0,0.4,0,0,0.0833333333333333,0.5,1,0,0.125,0.5,0.5,0,0.5,0.6,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.0909090909090909,0.75,0,0.25,0.2,0.25,0.25,0.25,0.75,0.25,0,0,1,0,0,24.01,90.12,22.9,87.75,"South Asia","India/ Bangladesh","Bay of Bengal","Bengal","Bengal","Bangla; Bongo","Bengalis","West Bengal Peoples","Indo-Aryan Eastern","1951; 1952; 1953;",8,NA,2,NA,"Tropical Savannah","Aw","PA-Middle East","Bengali","Indo-Aryan Eastern Zone","Indo-Iranian","Indo-European","beng1280","India",NA,"Ef2","Ganges Valley",69,"3631","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobeng1280 @Ethnoben @WikiBengalis @WikiDhamraiUpazila",23.81,90.41,NA,NA,"Bengal","Dhaka  Bangladesh [Recorded in Varanasi]","Old audio file # T5484R03","0:03:30","T5589R04","2C24.A6; WFS7.6","Baul Song","Baul Song","Haripad¢a Devanåth¢a  a Baul  was a refugee from East Bengal (now Bangladesh). The Bauls belong to a syncretic mystic cult of wandering mendicants in Bengal and Bangladesh. Their ideas are influenced by Vaishnava Hinduism and Sufi Islam as well as by Tantric Buddhism. Perhaps because of their unconventional beliefs  the word baul is said to mean “one who is crazy.” There are many cults of wandering musicians in India  all with their own philosophical and mystical underpinnings that are reflected in their unique lifestyles  clothing  songs and even the instruments they use. Bauls frequently travel alone and although accompaniment on the dotåra (lit. “two - stringed” but often having four strings  as in this instance) is not unusual  they more often accompany themselves on khamak (a variable - tension chordophone that may often described as a plucked drum) or ektårå (monochord) and simultaneously play a small drum (∂ugg¥) as they sing and dance. In recent times they have achieved international recognition  and Baul performers have toured widely  and their ensembles now often include instruments such as the harmonium and khol (double conical drum) as well as small cym bals and clappers.","Haripada Devanath  accompanying himself on dotar","Male Voice; Dotar","Men","The translation of the Baul song as given by Danielou is as follows:  The mind’s helmsman cannot at his fancy guide  his own craft. Unaware of the current You start the voyage to the other shore.  Taking the wealth you received from the Great Lord  you  started your trip on the ocean of lust.  The words of Eros murmured by the striking waves  will break your craft  and nothing will be left.  The mind’s helmsman cannot at his fancy guide his own craft. Make the door of prayer the way to salvation. Hold your boat with the divine name Do not try for the shore which lust suggests And you will fear no storm or tempest.  The mind’s helsman cannot at his fancy guide his own craft.  But the mad helmsman is not ready [to hear]. It starts across in the storm and wind Where wait for him the six enemy boatmen [lust  anger  greed illusion  envy  and vanity].  The mind’s helmsman cannot at his fancy guide his own craft.","nan","Alain Daniélou","1953","Columbia Records","Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215","Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","Compiled and edited by Alain Daniélou; New liner notes by Amy Catlin and Nazir Jairazbhoy","@CFPM1955India",NA,NA,"12046Bengalibeng1280beng1280","Bengali","beng1280",4,"beng1280","YES","0",NA,NA,"502","EURASIA","LazaridisNature2014","Bangladesh",23.7,90.4,596420,"AUGUST_2018",7,"indo1319","Indo-European",596420,7,0.05499,7.12931476190477e-05,0.239725714,7
"4",1038,19328,0.0833333333333333,0.25,1,0,0,0,0,0.0833333333333333,0.75,1,0,0,0.25,0.25,0,0.75,0.6,0.75,0,0,0.666666666666667,0.5,0,0.75,1,0.5,0.2,0.75,0.75,0.75,0.75,0.25,0,0,0,0,0,39.44,47.31,36.02,43.6,"Western Asia","Middle East","Mesopotamia","S Kurdistan","Barzani Kurd","Kurdish","Kurds","nan","Kurdish Peoples","1953; 1940-60",11,NA,NA,11,"Humid Continental","Dsb","PA-Middle East","Northern Kurdish","Central Iranian PBS","Indo-Iranian","Indo-European","nort2641","Iraq",NA,"Ci11",NA,NA,"32843","wiki","Kurdish settlements are in Iraq  Syria  Turkey  Georgia  Armenia",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap   @WikiBarzaniKurds  @Glottonort2641",36.8,44.24,NA,NA,"Barzani Kurd","Shanidar Village  Kurdistan  Iraq",NA,"0:02:27","T5482R42","2C25.B3","Sulaimaniya Love Song",NA,"Love song from the Sulaimaniya area of Iraq","Barzani workman","Male Voice","Men","nan","nan","Ralph S. Solecki","1953","Smithsonian Folkways","Kurdish Folk Songs and Dances. Ethnic Folkways Library FE4469  1955","Ralph Rinzler Folklife Archives and Collections  Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","http://www.folkways.si.edu/sulaimaniya-love-song/islamica-world/music/track/smithsonian","@FW1955KurdishFolkSongsAndDances",NA,NA,"19328Ezidnort2641nort2641","Ezid","nort2641",6,"nort2641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"5",1241,13718,0.0833333333333333,0.25,0.8,0,0,0,0.333333333333333,0.333333333333333,0.75,0.857142857142857,0,0,1,0.5,0,0.25,0.2,0.5,0.666666666666667,0,1,0.5,0,0.75,1,0.5,0,1,1,0.5,0.5,0.25,0,0,0,0,0,46.57,-84.15,47.82,-87.2,"North America","United States/ Canada","Great Lakes/ N E Woodlands","Lake Superior","Ojibwe","Chippewa","Ojibwa Algonquian","Algonquian Peoples","Northeast Woodlands Peoples","1909; 1952",3,NA,1,NA,"Temperate Continental","Dfb","HF-Arctic; HF-Prairie","Nuclear Ojibwe","Eastern Great Lakes Algonquian","Algonquian-Blackfoot","Algic","nucl1723","United States",NA,"Na36","Ojibwa",153,"38453; 7258; 23354","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottonucl1723  @WikiOjibwe",46.72,-94.68,NA,NA,"Ojibwe","Waba'cing  Minnesota",NA,"0:01:21","PENDING","1B13.B14","Love Song","Love Song","Old Chippewa love song","Manido'gicigo'kwe","Male Voice","Men","nan","nan","Frances Densmore","1909","Library of Congress","Songs of the Chippewa. Archive of American Folk Song AAFS L22  1950","Archive of Folk Culture  American Folklife Center  Library of Congress; Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"T5407R16","Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.","@AFS1950Chippewa",NA,NA,"13718nucl1723nucl1723","Ojibwa","east2542",10,"nucl1723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"6",1242,13718,0.0833333333333333,1,0.8,0,0,0,0.333333333333333,0.166666666666667,0.5,0.571428571428571,0,0,0.75,0.75,0,0.25,0.6,0.75,0.333333333333333,0,0.333333333333333,0.5,0,0,1,0.25,0.2,1,0.75,1,0.5,0.25,0,0,0,0,0,46.57,-84.15,47.82,-87.2,"North America","United States/ Canada","Great Lakes/ N E Woodlands","Lake Superior","Ojibwe","Chippewa","Ojibwa Algonquian","Algonquian Peoples","Northeast Woodlands Peoples","1909; 1952",3,NA,1,NA,"Temperate Continental","Dfb","HF-Arctic; HF-Prairie","Nuclear Ojibwe","Eastern Great Lakes Algonquian","Algonquian-Blackfoot","Algic","nucl1723","United States",NA,"Na36","Ojibwa",153,"38453; 7258; 23354","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottonucl1723  @WikiOjibwe",46.72,-94.68,NA,NA,"Ojibwe","Waba'cing  Minnesota",NA,"0:01:05","PENDING","1B13.A2","Dream Song","Dream Song","Chippewa dream song","Awun'akum","Male Voice","Men","nan","nan","Frances Densmore","1909","Library of Congress","Songs of the Chippewa. Archive of American Folk Song AAFS L22  1950","Archive of Folk Culture  American Folklife Center  Library of Congress; Copy in Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"T5407R17","Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.","@AFS1950Chippewa",NA,NA,"13718nucl1723nucl1723","Ojibwa","east2542",10,"nucl1723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"7",1361,19262,1,1,0.8,0.833333333333333,0.2,0.166666666666667,1,1,0.5,0,1,0.75,1,1,1,0,0.4,0.25,0,0,1,1,0.363636363636364,0,1,0,1,0,0.25,0,0,1,1,1,0.5,1,1,-21.92,18.01,-20.54,20.57,"Africa","Southern Africa","W & C Southern Africa","Angola/ Botswana/ Namibia/ South Africa/ Zambia","Juǀʼhoansi","Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen","S Savannah Hunter Gatherers/ San Khoisan","African Hunter-Gatherers","Southern African Peoples","1953; 1961; 1982; 1995; 1950s",20,7,1,12,"Semi Arid Steppe Hot","BSh","C-Africa","South-Eastern Ju (also known as Juǀʼhoan)","South-Eastern Ju","Ju-Kung","Kx'a","juho1239","Namibia",NA,"Aa1","Bushmen",2,"15947","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung",-19.73,20.46,NA,NA,"Juǀʼhoansi","Nyae Nyae region  Northeast Namibia",NA,"0:00:59","T5521R16","T1250.1; WFS1B.16","Honey Song","Honey Song; Hocket","Honey song","Mixed chorus  hocketing  beaten stones","Mixed Voices; Hocketing; Beaten Stones","Mixed adults","nan","nan","Nicholas England","1961","Previously Unpublished","Nicholas England Collection of audio recordings from 1951-1961 both originals and duplicates of audio tapes recorded during the John Marshall Ju/’hoan Bushman Expeditions 1950-2000","The John Marshall Ju/’hoan Bushman Film and Video Collection 1950-2000  Human Studies Film Archives  Smithsonian Institution  Washington  D.C.; copy in the Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","nan","@JMJBC1961HoneySong",NA,NA,"19262Ju_hoan_Southjuho1239juho1239","Ju_hoan_North","juho1239",5,"juho1239","YES","0","YES","could you distinguish the two JuHoan? The north one is also called ǂKxʼauǁʼein",NA,"AFRICA","PickrellNatureCommunications2012","Namibia",-18.93725689,21.45244764,595003,"AUGUST_2018",16,"kxaa1236","Kxa",595003,16,0.053105,0.000168329373333333,0.2402462925,19
"8",1362,19262,1,1,0.8,0.833333333333333,0.6,0.166666666666667,1,1,0.5,0,1,0.75,1,1,1,0,0.4,0.25,0,0,1,1,1,0,1,0,1,0,0.25,0,0,1,1,1,0.5,1,1,-21.92,18.01,-20.54,20.57,"Africa","Southern Africa","W & C Southern Africa","Angola/ Botswana/ Namibia/ South Africa/ Zambia","Juǀʼhoansi","Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen","S Savannah Hunter Gatherers/ San Khoisan","African Hunter-Gatherers","Southern African Peoples","1953; 1961; 1982; 1995; 1950s",20,7,1,12,"Semi Arid Steppe Hot","BSh","C-Africa","South-Eastern Ju (also known as Juǀʼhoan)","South-Eastern Ju","Ju-Kung","Kx'a","juho1239","Namibia",NA,"Aa1","Bushmen",2,"15947","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung",-25.59,21.09,NA,NA,"Juǀʼhoansi","Kalahari Desert  Southwestern Africa",NA,NA,"nan","T1250.2","Menstruation Ceremony Song","Puberty Song; Ceremonial Song","Menstruation ceremony song","Female chorus","Female Voices","Women","nan","nan","Nicholas England","1961","Previously Unpublished","Nicholas England Collection of audio recordings from 1951-1961 both originals and duplicates of audio tapes recorded during the John Marshall Ju/’hoan Bushman Expeditions 1950-2000","The John Marshall Ju/’hoan Bushman Film and Video Collection 1950-2000  Human Studies Film Archives  Smithsonian Institution  Washington  D.C.; copy in the Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","nan","@JMJBC1961MenstruationCeremonySong",NA,NA,"19262Ju_hoan_Southjuho1239juho1239","Ju_hoan_North","juho1239",5,"juho1239","YES","0","YES","could you distinguish the two JuHoan? The north one is also called ǂKxʼauǁʼein",NA,"AFRICA","PickrellNatureCommunications2012","Namibia",-18.93725689,21.45244764,595003,"AUGUST_2018",16,"kxaa1236","Kxa",595003,16,0.053105,0.000168329373333333,0.2402462925,19
"9",1363,19262,0.0833333333333333,0.75,1,0,1,0,0.666666666666667,0.75,0.25,0,0.25,0.625,0.75,1,0,0,0.4,0.25,0,0,0.333333333333333,0,0.0909090909090909,0.25,0,0.25,0.8,0,0.25,0,0,0.25,0,0,1,0,0,-21.92,18.01,-20.54,20.57,"Africa","Southern Africa","W & C Southern Africa","Angola/ Botswana/ Namibia/ South Africa/ Zambia","Juǀʼhoansi","Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen","S Savannah Hunter Gatherers/ San Khoisan","African Hunter-Gatherers","Southern African Peoples","1953; 1961; 1982; 1995; 1950s",20,7,1,12,"Semi Arid Steppe Hot","BSh","C-Africa","South-Eastern Ju (also known as Juǀʼhoan)","South-Eastern Ju","Ju-Kung","Kx'a","juho1239","Namibia",NA,"Aa1","Bushmen",2,"15947","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung",-25.59,21.09,NA,NA,"Juǀʼhoansi","Kalahari Desert  Southwestern Africa",NA,NA,"nan","T1250.3","Zhuǀʼhõasi Song 1",NA,"nan","nan","nan",NA,"nan","nan","Nicholas England","1961","Previously Unpublished","Nicholas England Collection of audio recordings from 1951-1961 both originals and duplicates of audio tapes recorded during the John Marshall Ju/’hoan Bushman Expeditions 1950-2000","The John Marshall Ju/’hoan Bushman Film and Video Collection 1950-2000  Human Studies Film Archives  Smithsonian Institution  Washington  D.C.; copy in the Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","nan","@JMJBC1961ZhuǀʼhõasiSong1",NA,NA,"19262Ju_hoan_Southjuho1239juho1239","Ju_hoan_North","juho1239",5,"juho1239","YES","0","YES","could you distinguish the two JuHoan? The north one is also called ǂKxʼauǁʼein",NA,"AFRICA","PickrellNatureCommunications2012","Namibia",-18.93725689,21.45244764,595003,"AUGUST_2018",16,"kxaa1236","Kxa",595003,16,0.053105,0.000168329373333333,0.2402462925,19
"10",1364,19262,1,0.75,0.4,1,0.4,0,0.666666666666667,1,0.25,0,0.25,0.125,0.75,1,1,0,0.4,0.25,0,0,0.333333333333333,0,0.0909090909090909,0.25,0,0.25,0.8,0,0.25,0,0,1,1,1,1,0,0,-21.92,18.01,-20.54,20.57,"Africa","Southern Africa","W & C Southern Africa","Angola/ Botswana/ Namibia/ South Africa/ Zambia","Juǀʼhoansi","Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen","S Savannah Hunter Gatherers/ San Khoisan","African Hunter-Gatherers","Southern African Peoples","1953; 1961; 1982; 1995; 1950s",20,7,1,12,"Semi Arid Steppe Hot","BSh","C-Africa","South-Eastern Ju (also known as Juǀʼhoan)","South-Eastern Ju","Ju-Kung","Kx'a","juho1239","Namibia",NA,"Aa1","Bushmen",2,"15947","wiki","nan",NA,"@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung",-25.59,21.09,NA,NA,"Juǀʼhoansi","Kalahari Desert  Southwestern Africa",NA,NA,"nan","T1250.4","Zhuǀʼhõasi Song 2",NA,"nan","nan","nan",NA,"nan","nan","Nicholas England","1961","Previously Unpublished","Nicholas England Collection of audio recordings from 1951-1961 both originals and duplicates of audio tapes recorded during the John Marshall Ju/’hoan Bushman Expeditions 1950-2000","The John Marshall Ju/’hoan Bushman Film and Video Collection 1950-2000  Human Studies Film Archives  Smithsonian Institution  Washington  D.C.; copy in the Alan Lomax Collection  American Folklife Center  Library of Congress",NA,"nan","nan","@JMJBC1961ZhuǀʼhõasiSong2",NA,NA,"19262Ju_hoan_Southjuho1239juho1239","Ju_hoan_North","juho1239",5,"juho1239","YES","0","YES","could you distinguish the two JuHoan? The north one is also called ǂKxʼauǁʼein",NA,"AFRICA","PickrellNatureCommunications2012","Namibia",-18.93725689,21.45244764,595003,"AUGUST_2018",16,"kxaa1236","Kxa",595003,16,0.053105,0.000168329373333333,0.2402462925,19
