"","societies","scores","location"
"10495","10495","0.32871","africa"
"11155","11155","0.36139","africa"
"11529","11529","0.39197","africa"
"11683","11683","0.42618","africa"
"15390","15390","0.32614","africa"
"15412","15412","0.38572","africa"
"15566","15566","0.32327","africa"
"16578","16578","0.31828","africa"
"16996","16996","0.37636","africa"
"18888","18888","0.3484","africa"
"19262","19262","0.31513","africa"
"20098","20098","0.36732","africa"
"20945","20945","0.34033","africa"
"20956","20956","0.29468","africa"
"20967","20967","0.38718","africa"
"21198","21198","0.35529","africa"
"25411","25411","0.36218","africa"
"26522","26522","0.39697","africa"
"27160","27160","0.34812","africa"
"28744","28744","0.34836","africa"
"30174","30174","0.28865","africa"
"62528","62528","0.32986","africa"
"23","overall_score","0.350931006884656","africa"
"10231","10231","0.40071","oceania"
"12816","12816","0.38098","oceania"
"14037","14037","0.4255","oceania"
"20835","20835","0.40888","oceania"
"20978","20978","0.41703","oceania"
"23200","23200","0.41133","oceania"
"23354","23354","0.39099","oceania"
"24795","24795","0.39883","oceania"
"27083","27083","0.37847","oceania"
"27479","27479","0.41854","oceania"
"27490","27490","0.44573","oceania"
"28975","28975","0.36805","oceania"
"30038","30038","0.40607","oceania"
"14","overall_score","0.403931916502901","oceania"
"10297","10297","0.44911","europe"
"10827","10827","0.31958","europe"
"24472","24472","0.36682","europe"
"24597","24597","0.31745","europe"
"50249","50249","0.35799","europe"
"50265","50265","0.36978","europe"
"50266","50266","0.32898","europe"
"50268","50268","0.40844","europe"
"50273","50273","0.36137","europe"
"10","overall_score","0.364392185220206","europe"
