"","societies","scores","location"
"10495","10495","0.23762","africa"
"11155","11155","0.26134","africa"
"11529","11529","0.24952","africa"
"11683","11683","0.20995","africa"
"15390","15390","0.27487","africa"
"15412","15412","0.21763","africa"
"15566","15566","0.22191","africa"
"16578","16578","0.20807","africa"
"16996","16996","0.26916","africa"
"18888","18888","0.21272","africa"
"19262","19262","0.28141","africa"
"20098","20098","0.29513","africa"
"20945","20945","0.26078","africa"
"20956","20956","0.29292","africa"
"20967","20967","0.25859","africa"
"21198","21198","0.26394","africa"
"25411","25411","0.29962","africa"
"26522","26522","0.26813","africa"
"27160","27160","0.24438","africa"
"28744","28744","0.29522","africa"
"30174","30174","0.2531","africa"
"62528","62528","0.33644","africa"
"23","overall_score","0.259656599494127","africa"
"10231","10231","0.32865","oceania"
"12816","12816","0.29286","oceania"
"14037","14037","0.32609","oceania"
"20835","20835","0.23534","oceania"
"20978","20978","0.32609","oceania"
"23200","23200","0.30178","oceania"
"23354","23354","0.30193","oceania"
"24795","24795","0.29251","oceania"
"27083","27083","0.31377","oceania"
"27479","27479","0.33894","oceania"
"27490","27490","0.22806","oceania"
"28975","28975","0.30376","oceania"
"30038","30038","0.32159","oceania"
"14","overall_score","0.300875260770452","oceania"
"10297","10297","0.31204","europe"
"10827","10827","0.32153","europe"
"24472","24472","0.29258","europe"
"24597","24597","0.27537","europe"
"50249","50249","0.40182","europe"
"50265","50265","0.33304","europe"
"50266","50266","0.29964","europe"
"50268","50268","0.28073","europe"
"50273","50273","0.33596","europe"
"10","overall_score","0.316967824627719","europe"
