"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","differentiation","=~","line_37",1,0,NA,NA,1,1,0.183753327542453,0.688343585073639,0.688343585073639
"2","differentiation","=~","line_10",-1.30206730186757,0.10760215098277,-12.1007553285443,0,-1.51296364245284,-1.0911709612823,-0.23925919940239,-0.753536427985779,-0.753536427985779
"3","differentiation","=~","line_30",1.22861319086994,0.105960581000488,11.5950023987155,0,1.02093426832805,1.43629211341184,0.225761762084902,0.703144536229756,0.703144536229756
"4","differentiation","=~","line_23",0.630592579476748,0.0706991583892872,8.9193788701776,0,0.492024775296452,0.769160383657044,0.115873484802431,0.367408597809082,0.367408597809082
"5","ornamentation","=~","line_28",1,0,NA,NA,1,1,0.176431786446559,0.60140624239252,0.60140624239252
"6","ornamentation","=~","line_29",1.27561225189313,0.156264523845005,8.16315962513909,2.22044604925031e-16,0.969339413095616,1.58188509069064,0.225058548414622,0.657242682370685,0.657242682370685
"7","ornamentation","=~","line_23",0.943119263667602,0.0938603674757898,10.0481096444766,0,0.759156323839359,1.12708220349584,0.166396216521038,0.527604746650792,0.527604746650792
"8","ornamentation","=~","line_31",1.24753477095716,0.117094769929222,10.6540605674466,0,1.01803323911788,1.47703630279644,0.220104788294171,0.588593889285238,0.588593889285238
"9","rhythm","=~","line_11",1,0,NA,NA,1,1,0.145992296195405,0.634947194622158,0.634947194622158
"10","rhythm","=~","line_24",-1.02523493835008,0.0842357581069983,-12.1710181209244,0,-1.19033399045022,-0.860135886249935,-0.149676402789482,-0.720038609595363,-0.720038609595363
"11","rhythm","=~","line_17",1.01754656300182,0.0968551501581797,10.5058591240632,0,0.827713956974573,1.20737916902908,0.148553959218378,0.529527337400494,0.529527337400494
"12","dynamics","=~","line_25",1,0,NA,NA,1,1,0.159634300778079,0.699425553947668,0.699425553947668
"13","dynamics","=~","line_36",1.16060137721906,0.140272471675174,8.27390694238738,2.22044604925031e-16,0.885672384713307,1.43553036972482,0.185271789334441,0.792273844190462,0.792273844190462
"14","dynamics","=~","line_32",0.229367349339228,0.0624622971754803,3.6720927617319,0.000240572322586452,0.106943496483649,0.351791202194808,0.0366148964330892,0.163634312720685,0.163634312720685
"15","dynamics","=~","line_35",0.34660276703803,0.065705558610471,5.27509048500494,1.32690600507246e-07,0.217822238577421,0.475383295498639,0.0553296903638634,0.208655324705605,0.208655324705605
"16","tension","=~","line_34",1,0,NA,NA,1,1,0.183458486397963,0.670440835945155,0.670440835945155
"17","tension","=~","line_35",0.412023738685888,0.0558806573623315,7.37328009608613,1.66533453693773e-13,0.302499662823295,0.521547814548481,0.075589251459343,0.285056715549665,0.285056715549665
